OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251 DEB,1993-036GE,2021-10-01T17:49:32.301408,14.25765600,.0070679,74.0679,18.4253,53.5053,307.2577,0,U,33995,999,65617,.23238E-3,.542E-5,0
COSMOS 2251 DEB,1993-036GF,2021-10-01T18:04:32.122848,14.63689911,.0073539,74.1116,158.4702,104.5717,256.3621,0,U,33996,999,66408,.19566E-2,.10578E-3,0
COSMOS 2251 DEB,1993-036GJ,2021-10-01T19:16:22.808928,14.54282014,.0073812,73.9359,314.4347,198.3976,161.4515,0,U,33999,999,66816,.22959E-3,.978E-5,0
COSMOS 2251 DEB,1993-036GK,2021-10-01T15:53:20.797728,14.59148049,.0021144,74.0439,7.5913,106.7166,16.2137,0,U,34000,999,66838,.4868E-3,.2271E-4,0
COSMOS 2251 DEB,1993-036GL,2021-10-02T01:56:36.011904,14.34753143,.0021884,74.0403,213.2540,309.8991,60.0583,0,U,34001,999,66153,.7321E-4,.182E-5,0
COSMOS 2251 DEB,1993-036GN,2021-10-01T13:49:04.442304,13.75438926,.029919,74.0820,323.4785,71.3872,291.9487,0,U,34003,999,63291,.1257E-3,.148E-5,0
COSMOS 2251 DEB,1993-036GP,2021-10-01T17:09:02.193408,14.34357083,.0043904,74.0376,264.8245,296.6910,62.9750,0,U,34004,999,65966,.30911E-3,.852E-5,0
COSMOS 2251 DEB,1993-036GQ,2021-10-01T20:29:41.481312,14.38600259,.0021778,74.0469,160.9937,299.3963,138.1122,0,U,34005,999,66325,.29344E-4,.64E-6,0
COSMOS 2251 DEB,1993-036GR,2021-10-01T19:43:55.194240,14.44478584,.0028516,74.0716,179.4511,199.3775,225.9777,0,U,34006,999,66310,.48583E-3,.1659E-4,0
COSMOS 2251 DEB,1993-036GS,2021-10-01T17:39:15.649056,14.51082561,.0058453,74.0261,16.9901,171.5066,188.7099,0,U,34007,999,66765,.2164E-3,.847E-5,0
COSMOS 2251 DEB,1993-036GT,2021-10-01T21:06:03.464928,14.31746462,.0025423,74.0329,248.0061,257.4989,125.9004,0,U,34008,999,66018,.41866E-4,.86E-6,0
COSMOS 2251 DEB,1993-036GU,2021-10-01T14:18:33.626592,14.31549947,.0028973,74.0356,254.0544,335.1155,186.9884,0,U,34009,999,65996,.51548E-4,.112E-5,0
COSMOS 2251 DEB,1993-036GV,2021-10-01T17:36:56.490624,14.54109259,.0025491,74.0256,22.6261,172.9172,187.2356,0,U,34010,999,66749,.33883E-3,.1409E-4,0
COSMOS 2251 DEB,1993-036GW,2021-10-01T09:46:14.361888,14.32124679,.0045362,74.0165,267.4199,354.7245,5.3420,0,U,34011,999,65909,.26351E-3,.691E-5,0
COSMOS 2251 DEB,1993-036GX,2021-10-01T19:36:30.051936,14.64590574,.005167,74.0248,110.3928,141.6087,218.8777,0,U,34012,999,66470,.16853E-2,.9107E-4,0
COSMOS 2251 DEB,1993-036GY,2021-10-01T07:18:32.989536,14.77524111,.0030152,74.0182,233.6217,332.2028,27.7534,0,U,34013,999,67233,.14253E-2,.10229E-3,0
COSMOS 2251 DEB,1993-036GZ,2021-10-01T22:38:20.590368,14.54703528,.0050367,74.0248,334.6100,139.1031,35.2306,0,U,34014,999,66913,.17763E-3,.744E-5,0
COSMOS 2251 DEB,1993-036HA,2021-10-01T18:36:14.034816,14.43184369,.0031892,74.0311,156.6407,264.5050,158.6073,0,U,34015,999,66321,.32648E-3,.1077E-4,0
COSMOS 2251 DEB,1993-036HD,2021-10-01T18:56:06.981216,13.78506951,.0271287,73.8788,163.4664,120.9117,306.3761,0,U,34018,999,63517,.21558E-3,.265E-5,0
COSMOS 2251 DEB,1993-036HE,2021-10-01T21:51:22.626720,14.25575494,.0066211,73.9589,325.8256,122.1627,52.2112,0,U,34019,999,65627,.24437E-3,.566E-5,0
